"","rmse","time","model_","feature","model","par"
"55",8.35232461827734,40.0050000000047,"Quantile Random Forest","raw","qrf","mtry: 2"
"56",11.5093154296373,1544.76999999996,"Quantile Regression Neural Network","raw","qrnn","n.hidden_penalty_bag: 1_0_FALSE"
"57",8.49980885028187,14951.975,"Ensembles of Generalized Linear Models","raw","randomGLM","maxInteractionOrder: 3"
"58",8.32681344775755,19.8040000000037,"Random Forest","raw","ranger","mtry_splitrule_min.node.size: 2_2_5"
"59",8.36306745400663,3.15299999999115,"Radial Basis Function Network","raw","rbf","size: 3"
"60",27.2299569101934,5.66399999998976,"Radial Basis Function Network","raw","rbfDDA","negativeThreshold: 0.1"
"61",8.34746879166751,3622.79199999996,"Random Forest","raw","Rborist","predFixed_minNode: 2_3"
"62",9.2044661098077,2.49500000005355,"Relaxed Lasso","raw","relaxo","lambda_phi: 1349.05427760953_0.5"
"63",8.34252133495614,24.7520000000368,"Random Forest","raw","rf","mtry: 2"
"64",9.37227613814355,2.26299999991897,"Ridge Regression","raw","ridge","lambda: 0.1"
"65",8.81957695296025,1.31400000001304,"CART","raw","rpart","cp: 0.044326083755896"
"66",10.3211604028176,1.19700000004377,"CART","raw","rpart1SE","parameter: 1"
"67",8.77840678976861,1.21100000001024,"CART","raw","rpart2","maxdepth: 1"
"68",8.37387084452934,1.36699999996927,"Quantile Regression with LASSO penalty","raw","rqlasso","lambda: 0.1"
"69",8.38982377360969,64.454000000027,"Non-Convex Penalized Quantile Regression","raw","rqnc","lambda_penalty: 0.1_1"
"70",8.30405243801385,443.397999999928,"Regularized Random Forest","raw","RRF","mtry_coefReg_coefImp: 2_0.505_0"
"71",8.38319064842622,71.9200000000419,"Regularized Random Forest","raw","RRFglobal","mtry_coefReg: 2_0.505"
"72",8.66943676542185,1.91400000010617,"Relevance Vector Machines with Linear Kernel","raw","rvmLinear","parameter: 1"
"73",8.47741165514973,7.54799999995157,"Relevance Vector Machines with Polynomial Kernel","raw","rvmPoly","scale_degree: 0.001_1"
"74",8.56328224584023,2.40500000002794,"Relevance Vector Machines with Radial Basis Function Kernel","raw","rvmRadial","sigma: 0.00389530209698227"
"75",10.5269283712379,56.3809999999357,"Subtractive Clustering and Fuzzy c-Means Rules","raw","SBC","r.a_eps.high_eps.low: 1_0.5_0"
"76",8.4345123055332,1.00399999995716,"Partial Least Squares","raw","simpls","ncomp: 1"
"77",8.36600010242879,6.29899999999907,"Spike and Slab Regression","raw","spikeslab","vars: 2"
"78",8.41745451223327,1101.299,"Sparse Partial Least Squares","raw","spls","K_eta_kappa: 1_0.1_0.5"
"79",27.2263613435847,1.19099999999162,"Supervised Principal Component Analysis","raw","superpc","threshold_n.components: 0.5_1"
"80",12.5299987748688,3.59700000006706,"Support Vector Machines with Linear Kernel","raw","svmLinear","C: 1"
"81",11.4420763597511,3.57600000000093,"Support Vector Machines with Linear Kernel","raw","svmLinear2","cost: 0.25"
"82",8.72975866703972,5.28200000000652,"L2 Regularized Support Vector Machine (dual) with Linear Kernel","raw","svmLinear3","cost_Loss: 0.25_1"
"83",8.36580397596491,4.95899999991525,"Support Vector Machines with Polynomial Kernel","raw","svmPoly","degree_scale_C: 1_0.001_0.25"
"84",8.41030972122616,1.35100000002421,"Support Vector Machines with Radial Basis Function Kernel","raw","svmRadial","sigma_C: 0.00406237607094595_0.25"
"85",8.44645285971125,1.3190000000177,"Support Vector Machines with Radial Basis Function Kernel","raw","svmRadialCost","C: 0.25"
"86",8.39878463467187,1.93299999996088,"Support Vector Machines with Radial Basis Function Kernel","raw","svmRadialSigma","sigma_C: 0.00201628325576082_0.25"
"87",8.50021762603597,3.04800000006799,"Bagged CART","raw","treebag","parameter: 1"
"88",8.41875195837133,1.74200000008568,"Partial Least Squares","raw","widekernelpls","ncomp: 1"
"89",8.47057411352723,465.111999999965,"Wang and Mendel Fuzzy Rules","raw","WM","num.labels_type.mf: 3_2"
"90",8.39382488518467,10457.983,"eXtreme Gradient Boosting","raw","xgbDART","nrounds_max_depth_eta_gamma_subsample_colsample_bytree_rate_drop_skip_drop_min_child_weight: 150_1_0.4_0_0.75_0.6_0.5_0.05_1"
